ID,选手,赛事,轮次,YouTube搜索链接,BWF频道搜索
1,Kento MOMOTA vs CHOU Tien Chen,Fuzhou Open 2019,Finals,https://www.youtube.com/results?search_query=Kento+MOMOTA+vs+CHOU+Tien+Chen+Fuzhou+Open+2019+Finals,https://www.youtube.com/@BWFTV/search?query=Kento+MOMOTA+vs+CHOU+Tien+Chen+Fuzhou+Open+2019+Finals
2,CHEN Long vs CHOU Tien Chen,World Tour Finals,Group-Stage,https://www.youtube.com/results?search_query=CHEN+Long+vs+CHOU+Tien+Chen+World+Tour+Finals+Group-Stage,https://www.youtube.com/@BWFTV/search?query=CHEN+Long+vs+CHOU+Tien+Chen+World+Tour+Finals+Group-Stage
3,Kento MOMOTA vs CHOU Tien Chen,KOREA OPEN 2019,Finals,https://www.youtube.com/results?search_query=Kento+MOMOTA+vs+CHOU+Tien+Chen+KOREA+OPEN+2019+Finals,https://www.youtube.com/@BWFTV/search?query=Kento+MOMOTA+vs+CHOU+Tien+Chen+KOREA+OPEN+2019+Finals
4,CHEN Long vs CHOU Tien Chen,Denmark Open 2019,Quarter-finals,https://www.youtube.com/results?search_query=CHEN+Long+vs+CHOU+Tien+Chen+Denmark+Open+2019+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=CHEN+Long+vs+CHOU+Tien+Chen+Denmark+Open+2019+Quarter-finals
5,Kento MOMOTA vs CHOU Tien Chen,Fuzhou Open 2018,Finals,https://www.youtube.com/results?search_query=Kento+MOMOTA+vs+CHOU+Tien+Chen+Fuzhou+Open+2018+Finals,https://www.youtube.com/@BWFTV/search?query=Kento+MOMOTA+vs+CHOU+Tien+Chen+Fuzhou+Open+2018+Finals
6,Kento MOMOTA vs CHOU Tien Chen,Denmark Open 2018,Finals,https://www.youtube.com/results?search_query=Kento+MOMOTA+vs+CHOU+Tien+Chen+Denmark+Open+2018+Finals,https://www.youtube.com/@BWFTV/search?query=Kento+MOMOTA+vs+CHOU+Tien+Chen+Denmark+Open+2018+Finals
7,Kento MOMOTA vs CHOU Tien Chen,Malaysia Open 2018,Quarter-finals,https://www.youtube.com/results?search_query=Kento+MOMOTA+vs+CHOU+Tien+Chen+Malaysia+Open+2018+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=Kento+MOMOTA+vs+CHOU+Tien+Chen+Malaysia+Open+2018+Quarter-finals
8,CHOU Tien Chen vs Anders ANTONSEN,Fuzhou Open 2019,Semi-finals,https://www.youtube.com/results?search_query=CHOU+Tien+Chen+vs+Anders+ANTONSEN+Fuzhou+Open+2019+Semi-finals,https://www.youtube.com/@BWFTV/search?query=CHOU+Tien+Chen+vs+Anders+ANTONSEN+Fuzhou+Open+2019+Semi-finals
9,CHOU Tien Chen vs Jonatan CHRISTIE,Sudirman Cup 2019,Quarter-finals,https://www.youtube.com/results?search_query=CHOU+Tien+Chen+vs+Jonatan+CHRISTIE+Sudirman+Cup+2019+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=CHOU+Tien+Chen+vs+Jonatan+CHRISTIE+Sudirman+Cup+2019+Quarter-finals
10,CHOU Tien Chen vs NG Ka Long Angus,Sudirman Cup 2019,Group-Stage,https://www.youtube.com/results?search_query=CHOU+Tien+Chen+vs+NG+Ka+Long+Angus+Sudirman+Cup+2019+Group-Stage,https://www.youtube.com/@BWFTV/search?query=CHOU+Tien+Chen+vs+NG+Ka+Long+Angus+Sudirman+Cup+2019+Group-Stage
11,CHOU Tien Chen vs Jonatan CHRISTIE,Indonesia Open 2019,Quarter-finals,https://www.youtube.com/results?search_query=CHOU+Tien+Chen+vs+Jonatan+CHRISTIE+Indonesia+Open+2019+Quarter-finals,https://www.youtube.com/@BWFTV/search?query=CHOU+Tien+Chen+vs+Jonatan+CHRISTIE+Indonesia+Open+2019+Quarter-finals
12,NG Ka Long Angus vs SHI Yuqi,Thailand Masters 2020,Semi-finals,https://www.youtube.com/results?search_query=NG+Ka+Long+Angus+vs+SHI+Yuqi+Thailand+Masters+2020+Semi-finals,https://www.youtube.com/@BWFTV/search?query=NG+Ka+Long+Angus+vs+SHI+Yuqi+Thailand+Masters+2020+Semi-finals
